X,Y,OBJECTID,HOUSE_NUMB,HYPERLINK,BUILDING_N,LEVEL_NO,STREETNAME,POSTALCODE,NAME_OF_SC,UNIT_NO,DESCRIPTIO
103.739371389065866,1.333753432895284,1,135,http://www.nyschool.edu.sg,,3,JURONG GATEWAY ROAD,600135,NANYANG LANGUAGE & BUSINESS SCHOOL,333,Private Education Institutions
103.744636424853411,1.335904570267926,35,80,http://www.hmi-ihs.com,DEVAN NAIR INSTITUTE FOR EMPLOYMENT & EMPLOYABILIT,6,JURONG EAST STREET 21,609607,HMI INSTITUTE OF HEALTH SCIENCES,3,Private Education Institutions
103.741683568697482,1.331363471746665,49,8,http://www.icnacademy.com/,JTC SUMMIT,3,JURONG TOWN HALL ROAD,609434,ICN ACADEMY,1,Private Education Institutions
103.738708272229474,1.333862463597292,67,134,http://www.jegroup.edu.sg,,4,JURONG GATEWAY ROAD,600134,JE EDUCATIONAL COLLEGE,307L,Private Education Institutions
103.738708272229474,1.333862463597292,69,134,http://www.ja.edu.sg/,,3,JURONG GATEWAY ROAD,600134,JURONG ACADEMY,307L,Private Education Institutions
103.739371389065866,1.333753432895284,89,135,http://www.singapore-nei.com,,4,JURONG GATEWAY ROAD,600135,NANYANG EDUCATION INSTITUTE,343,Private Education Institutions
103.739371389065866,1.333753432895284,100,135,http://www.smartlearners.edu.sg,,4,JURONG EAST STREET 13,600135,SMART LEARNERS EDUCATION CENTRE,,Private Education Institutions
103.739371389065866,1.333753432895284,101,135,http://www.soaacademyonline.com,,3,JURONG GATEWAY ROAD,600135,SOA ACADEMY,333,Private Education Institutions
103.739371389065866,1.333753432895284,104,BLK 135,http://www.spring.edu.sg,,3,JURONG GATEWAY ROAD,600135,SPRING COLLEGE INTERNATIONAL,329,Private Education Institutions
103.74016666721819,1.334648501780185,108,131,http://www.sthua.edu.sg,,4,JURONG GATEWAY ROAD,600131,ST.HUA PRIVATE SCHOOL,241,Private Education Institutions
103.744636424853411,1.335904570267926,140,80,http://www.wavelink.com.sg/wmi/,DEVAN NAIR INSTITUTE,6,JURONG EAST STREET 21,609607,WAVELINK MARITIME INSTITUTE,4,Private Education Institutions
103.738708272229474,1.333862463597292,183,134,http://www.aprotraining.sg,,4,JURONG GATEWAY ROAD,600134,APRO TRAINING CENTRE,309A,Private Education Institutions
103.744636424853411,1.335904570267926,231,80,http://www.seraphcorp.net,DEVAN NAIR INSTITUTE,6,JURONG EAST STREET 21,609607,SERAPHCORP INSTITUTE,1,Private Education Institutions
103.750058414530471,1.343713026154381,258,21,http://www.shatec.sg,,,BUKIT BATOK STREET 22,659589,SHATEC INSTITUTES,,Private Education Institutions
103.741683568697482,1.331363471746665,282,8,http://www.parenthesis.edu.sg,THE JTC SUMMIT,24,JURONG TOWN HALL ROAD,609434,PARENTHESIS ACADEMY,2,Private Education Institutions
